test,chain_length,core_area,hold_ws_basic,hold_ws_fault,hold_ws_opt,hold_ws_skip,routing_time_basic,routing_time_fault,routing_time_opt,routing_time_skip,scannable_element_density,setup_ws_basic,setup_ws_fault,setup_ws_opt,setup_ws_skip,twl_after,twl_before,twl_internal_after,twl_internal_before,twl_internal_reduction_pct,twl_reduction_pct,ys_cell_count
s386,20,2454.85,-0.009874434882586696,-0.008016032509107438,-0.005107081568865082,0.07160419682078746,00:00:38.600,00:00:30.950,00:00:34.343,00:00:26.596,0.008147137299631343,0.031706194123167476,0.5682880993303245,0.07625100766620123,0.5931348913241509,253365,256765,203260,181560,-11.951971799955938,1.324168013553249,320
s400,30,3027.9,-0.007205097833410809,-0.01024716451807049,-0.008374301489286515,-0.01533861969742203,00:00:37.652,00:00:36.355,00:00:33.973,00:00:25.126,0.009907856930545923,2.7428247116556435,2.7275826813640958,2.662393048049677,2.6558245243610137,345695,391815,304340,304180,-0.05260043395358012,11.7708612482932,392
s420,35,3716.06,-0.004173966845852967,0.0018196555888240061,-0.00498920363589169,0.056235129256053965,00:00:36.286,00:00:37.999,00:00:35.008,00:00:31.792,0.009418577740940674,-0.5929461534046266,0.3415681167919128,-0.6195168997598477,-0.06557599093791533,359205,396605,292460,314600,7.037507946598856,9.43003744279573,448
s444,30,3027.9,-0.010803164224527513,-0.0066797680388764585,-0.010005357936468375,-0.017500418276536357,00:00:34.101,00:00:35.130,00:00:32.764,00:00:25.450,0.009907856930545923,2.507689682441789,1.5192727506075974,2.5760856399420065,2.517804258571394,303400,308000,260960,255900,-1.9773348964439232,1.4935064935064934,397
s510,32,4384.2,-0.011722817492985333,-0.005598466293461486,-0.012255419248536643,0.057991446619531775,00:01:02.053,00:01:04.497,00:00:57.221,00:00:45.776,0.007298937092285936,0.6170450991479149,0.664981422082492,0.6047749139327332,1.0157657225070746,338350,359350,264040,285420,7.490715436900007,5.843884791985529,592
s526,30,3284.4,-0.005251299543842653,-0.007549544536542381,-0.008664069706908886,-0.006444539528881287,00:00:57.760,00:00:34.358,00:00:35.165,00:00:28.325,0.009134088417975885,4.966817320234625,4.714698542798932,4.979704789468957,4.923458669004648,320990,362510,285800,275900,-3.5882566147154766,11.453477145458056,407
s526a,30,3258.12,-0.005539791004950596,-0.0061930462511153575,-0.006116191060062068,-0.006919659485706933,00:00:41.854,00:00:35.389,00:00:34.328,00:00:26.950,0.009207763986593495,5.116605950418104,5.308767353757811,5.131179182340703,5.1053589467713545,320405,367605,270000,271680,0.6183745583038869,12.839868880999985,403
s5378,244,25984.9,-0.008931633463410768,-0.002753519712398938,-0.006925571423480263,0.004974021335600557,00:02:38.396,00:03:30.127,00:02:45.189,00:02:01.078,0.00939006884767692,-2.9916026058711482,-4.40152726724479,-3.3100003674838314,-2.709788026222136,2265860,2778020,2206360,2464680,10.480873784832108,18.436152367513554,3023
s5378a,244,25984.9,-0.008931633463410768,-0.002753519712398938,-0.006925571423480263,0.004974021335600557,00:02:41.257,00:03:42.327,00:02:46.649,00:02:02.933,0.00939006884767692,-2.9916026058711482,-4.40152726724479,-3.3100003674838314,-2.709788026222136,2265860,2778020,2206360,2464680,10.480873784832108,18.436152367513554,3023
s641,76,6831.55,-0.008352929695458044,-0.007288558851647443,-0.01678784936360349,0.05527328751146721,00:01:00.979,00:00:47.200,00:00:58.465,00:00:41.052,0.011124854535207968,-4.706121847646532,-4.237683213172041,-4.70878993569477,-4.372849761618457,704470,757190,604240,635200,4.8740554156171285,6.962585348459435,825
